title	runtime	rating	genre	imdb_url	type	runtime_hours	pixels_cost
X-Men	6240	7.3	Action, Adventure, Sci-Fi	http://www.imdb.com/title/tt0120903/	movie	1.7333333333333334	88532.85188119172
Taxidermia	5460	6.8	Comedy, Drama, Horror	http://www.imdb.com/title/tt0410730/	movie	1.5166666666666666	123483.43054796764
(500) Days of Summer	5700	7.7	Comedy, Drama, Romance	http://www.imdb.com/title/tt1022603/	movie	1.5833333333333333	100401.06986997377
THX 1138	5160	6.7	Drama, Sci-Fi, Thriller	http://www.imdb.com/title/tt0066434/	movie	1.4333333333333333	293596.541996285
Madagascar: Escape 2 Africa	5340	6.6	Animation, Adventure, Comedy, Family	http://www.imdb.com/title/tt0479952/	movie	1.4833333333333334	141673.37838086393
Mogari no mori	5820	6.7	Drama	http://www.imdb.com/title/tt1016205/	movie	1.6166666666666667	70837.4890470207
Minority Report	8700	7.7	Action, Crime, Mystery, Sci-Fi, Thriller	http://www.imdb.com/title/tt0181689/	movie	2.4166666666666665	158195.8719451122
Reservoir Dogs	5940	8.3	Crime, Thriller	http://www.imdb.com/title/tt0105236/	movie	1.65	101938.24267464306
Ssa-i-bo-geu-ji-man-gwen-chan-a	6420	7	Comedy, Drama, Romance	http://www.imdb.com/title/tt0497137/	movie	1.7833333333333334	162908.08377130685
The English Patient	9720	7.4	Drama, Romance, War	http://www.imdb.com/title/tt0116209/	movie	2.7	119382.90193127184
Willy Wonka & the Chocolate Factory	6000	7.8	Family, Fantasy, Musical	http://www.imdb.com/title/tt0067992/	movie	1.6666666666666667	169908.26310733537
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	5700	8.4	Comedy, War	http://www.imdb.com/title/tt0057012/	movie	1.5833333333333333	88715.2318655303
Marie Antoinette	7380	6.5	Biography, Drama, History, Romance	http://www.imdb.com/title/tt0422720/	movie	2.05	103122.29043196388
Happy-End	720	6.3	Short	http://www.imdb.com/title/tt0156592/	short	0.2	138761.7451431381
Monty Python and the Holy Grail	5460	8.2	Adventure, Comedy, Fantasy	http://www.imdb.com/title/tt0071853/	movie	1.5166666666666666	138022.29800407923
Where the Wild Things Are	6060	6.7	Adventure, Drama, Family, Fantasy, Horror	http://www.imdb.com/title/tt0386117/	movie	1.6833333333333333	94205.02194329108
Meet the Robinsons	5700	6.8	Animation, Adventure, Comedy, Family, Music, Musical, Sci-Fi	http://www.imdb.com/title/tt0396555/	movie	1.5833333333333333	191485.47567198428
Survive Style 5+	7200	7.5	Fantasy, Mystery, Romance, Thriller	http://www.imdb.com/title/tt0430651/	movie	2.0	106068.19606005974
